Date,District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9
01/29/2017,93.26,47.38,124.64,73.14,81.26,77.27,20.27,43.81,25.36
01/30/2017,93.26,47.38,124.64,73.14,81.26,77.27,20.27,43.81,25.36
01/31/2017,93.26,47.38,124.64,73.14,81.26,77.27,20.27,43.81,25.36
02/01/2017,93.26,47.38,124.64,73.14,81.26,77.27,20.27,43.81,25.36
02/02/2017,95.11,47.44,123.54,65.09,82.42,78.63,19.37,43.16,25.38
02/03/2017,96.61,46.83,121.83,63.46,81.55,79.3,17.54,42.18,26.02
02/04/2017,96.22,46.73,123.02,63.55,82.28,78.22,19.1,42.89,26.57
02/05/2017,96.22,46.73,123.02,63.55,82.28,78.22,19.1,42.89,26.57
02/06/2017,95.82,46.63,124.2,63.63,83,77.14,20.66,43.59,27.11
02/07/2017,95.34,45.12,124.37,66.84,82.49,80.02,19.47,41.63,26.84
02/08/2017,97.18,49.32,124.22,63.29,80.48,76.96,21.15,42.79,27.58
02/09/2017,97.46,48.97,123.45,65.95,80.2,77.33,21.21,45.29,25.7
02/10/2017,93.34,47.57,124.48,66.45,80.6,76.74,17.93,41.39,23.19
02/11/2017,95.57,47.19,124.58,64.97,82.35,78.56,18.48,43.01,24.7
02/12/2017,95.57,47.19,124.58,64.97,82.35,78.56,18.48,43.01,24.7
02/13/2017,97.8,46.81,124.68,63.49,84.1,80.37,19.03,44.63,26.2
02/14/2017,97.93,48.75,122.42,64.25,84.01,80.5,18.46,44.17,27.3
02/15/2017,97,48.45,124.35,64.69,83.87,78.65,21.3,42.66,23.03
02/16/2017,95.32,49.56,125.84,67.36,83.14,77.06,17.71,41.31,26.03
02/17/2017,94.74,49.59,124.28,65.07,84.59,79.14,21.35,42.04,25.47
02/18/2017,95.57,48.13,124.78,65.95,82.32,77.82,21.16,42.83,26.48
02/19/2017,95.57,48.13,124.78,65.95,82.32,77.82,21.16,42.83,26.48
02/20/2017,96.4,46.67,125.27,66.82,80.04,76.49,20.96,43.61,27.49
02/21/2017,95.35,49.21,121.98,67.05,81.87,79.17,20.69,41.38,26.71
02/22/2017,96.52,45.15,125.89,63.26,81.31,79.49,20.38,41.46,27.84
02/23/2017,94.18,45.79,123.14,63.68,80.28,77.96,17.41,42.97,24.11
02/24/2017,96.31,47.69,123.18,64.91,81.37,80.27,18.03,45.88,26.37
02/25/2017,96.66,48.04,122.86,64,82.94,80.15,19.94,44.08,25.59
02/26/2017,96.66,48.04,122.86,64,82.94,80.15,19.94,44.08,25.59
02/27/2017,97.01,48.39,122.54,63.08,84.51,80.03,21.84,42.27,24.81
02/28/2017,97.07,48.46,125.87,65.57,84.6,78.1,21.8,45.91,24.73
03/01/2017,99.93,48.85,108.81,54.71,85.17,80.95,48.04,47.21,26.55
03/02/2017,97.06,49.15,107.8,54.11,83.32,81.96,50.96,47.88,26.86
03/03/2017,98.08,47.26,106.29,56.88,83.56,79.81,49.41,46.96,24.47
03/04/2017,97.98,48.08,108.22,55.61,84.03,81.25,49.65,48.46,26.43
03/05/2017,97.98,48.08,108.22,55.61,84.03,81.25,49.65,48.46,26.43
03/06/2017,97.87,48.89,110.15,54.33,84.5,82.69,49.89,49.96,28.39
03/07/2017,100.1,48.71,107.07,54.8,83.24,81.78,50.71,46.27,24.9
03/08/2017,97.42,49.41,106.12,55.39,87.47,81.4,47.45,48.42,25.06
03/09/2017,98.96,49.92,107.32,55.69,84.73,78.16,49.8,45.35,24.23
03/10/2017,100.05,46.32,106.14,56.35,86.34,81.88,49.9,49.55,27.99
03/11/2017,99.68,48.65,106.86,56.43,85.2,80.23,49.22,47.31,27.53
03/12/2017,99.68,48.65,106.86,56.43,85.2,80.23,49.22,47.31,27.53
03/13/2017,99.31,50.98,107.57,56.5,84.05,78.58,48.53,45.06,27.06
03/14/2017,100.33,48.23,109.19,55.08,84.93,82.72,50.61,46.1,24.19
03/15/2017,100.95,48.84,106.23,53.11,86.16,82.4,46.72,48.61,24.51
03/16/2017,101.68,49.36,106.92,53.17,86.65,80.49,50.67,49.84,28.94
03/17/2017,101.1,46.7,109.8,52.21,87.39,78.45,48.35,45.99,28.11
03/18/2017,101.07,47.54,108.19,54.54,87.36,78.84,47.33,47.06,26.32
03/19/2017,101.07,47.54,108.19,54.54,87.36,78.84,47.33,47.06,26.32
03/20/2017,101.04,48.37,106.58,56.87,87.33,79.22,46.31,48.12,24.52
03/21/2017,100.96,50.53,107.84,52.7,87.02,81.59,50.98,46.14,24.82
03/22/2017,99.7,46.24,106.81,54.89,85.93,81.79,48.56,48.37,27.56
03/23/2017,99.46,46.88,109.01,56.68,83.98,81.58,47.27,45.49,27.39
03/24/2017,101.92,47.36,106.74,56.39,83.17,80.47,48.53,48.23,26.24
03/25/2017,101.38,48.85,106.6,54.31,83.64,81.22,49.63,46.9,25.21
03/26/2017,101.38,48.85,106.6,54.31,83.64,81.22,49.63,46.9,25.21
03/27/2017,100.84,50.33,106.46,52.22,84.11,81.97,50.72,45.56,24.17
03/28/2017,98.54,46.76,109.33,52.64,87.28,81.36,48.07,46.47,24.44
03/29/2017,100.65,49.23,106.81,56.45,87.96,80.15,49.49,47.04,25.79
03/30/2017,101.49,50.02,107.17,55.31,84.36,81.06,50.86,48.02,25.59
03/31/2017,97.48,46.31,110.43,53.68,85.02,81.31,49.39,46.82,28.29
04/01/2017,90.71,48.27,104.45,56.08,85.06,80.71,48.05,46.12,27.56
04/02/2017,90.71,48.27,104.45,56.08,85.06,80.71,48.05,46.12,27.56
04/03/2017,83.93,50.22,98.47,58.47,85.09,80.1,46.7,45.42,26.82
04/04/2017,82.08,49.6,97.49,58.13,86.94,81.65,45.41,45.77,27.48
04/05/2017,82.1,52.6,99.11,59.95,83.39,80.96,46.07,46.76,28.76
04/06/2017,82.63,49.24,99.12,58.11,85.87,81.74,44.98,44.82,28.24
04/07/2017,83.17,48.87,100.74,58.08,84.8,81.83,44.54,43.87,28.99
04/08/2017,83.51,50.77,100.14,58.29,84.13,82.2,46.38,43.84,27.75
04/09/2017,83.51,50.77,100.14,58.29,84.13,82.2,46.38,43.84,27.75
04/10/2017,83.85,52.67,99.53,58.49,83.45,82.57,48.22,43.8,26.5
04/11/2017,85.4,51.92,97.91,57.27,86.11,78.09,44.62,44.95,25.04
04/12/2017,83.49,52.46,100.55,60.26,83.67,80.7,48.15,47.12,28.33
04/13/2017,83.94,50.89,99.08,60.7,87.84,81.17,45.81,47.91,24.52
04/14/2017,82.38,52.69,98.14,57.93,85.23,79.33,47.45,44.83,26.06
04/15/2017,83.24,51.1,98.86,57.5,84.49,80.16,46.55,46.17,27.47
04/16/2017,83.24,51.1,98.86,57.5,84.49,80.16,46.55,46.17,27.47
04/17/2017,84.1,49.51,99.58,57.07,83.74,80.99,45.65,47.51,28.88
04/18/2017,82.1,48.4,99.36,59.45,83.03,80.88,48.84,45.25,25.09
04/19/2017,82.07,51.57,97.86,56.64,85.92,80.69,44.56,47.09,24.79
04/20/2017,83.91,48.93,96.19,60.73,84.83,81.23,47.57,44.99,26.34
04/21/2017,85.5,50.01,100.21,60.27,86.54,82.55,44.37,47.56,27.23
04/22/2017,84.93,50.69,99.73,59.52,85.5,81.7,45.11,47.62,26.46
04/23/2017,84.93,50.69,99.73,59.52,85.5,81.7,45.11,47.62,26.46
04/24/2017,84.35,51.36,99.25,58.77,84.46,80.85,45.84,47.67,25.68
04/25/2017,81.71,48.76,96.45,56.05,87.56,82.21,46.59,46.92,26.89
04/26/2017,82.72,49.83,97.57,57.14,84.43,78.91,47.88,44.82,28.91
04/27/2017,82.26,52.66,100.84,57.04,85.66,78.15,45.85,44.1,26.64
04/28/2017,83.24,52.79,99.38,60.98,84.52,82.53,46.81,43.64,26.14
04/29/2017,78.54,47.44,95.28,61.29,96.82,64.83,48.08,47.57,20.36
04/30/2017,78.54,47.44,95.28,61.29,96.82,64.83,48.08,47.57,20.36
05/01/2017,78.54,47.44,95.28,61.29,96.82,64.83,48.08,47.57,20.36
05/02/2017,78.54,47.44,95.28,61.29,96.82,64.83,48.08,47.57,20.36
05/03/2017,73.84,42.08,91.18,61.6,109.12,47.12,49.35,51.5,14.57
05/04/2017,73.5,42.63,92.16,63.77,110.92,47.35,51.92,51.45,12.22
05/05/2017,73.57,41.92,91.4,60.91,110.85,49.71,49.84,50.84,13.08
05/06/2017,73.24,41.48,91.75,61.89,110.35,49.73,49.53,51.72,12.82
05/07/2017,73.24,41.48,91.75,61.89,110.35,49.73,49.53,51.72,12.82
05/08/2017,72.91,41.04,92.1,62.87,109.85,49.75,49.21,52.6,12.55
05/09/2017,75.29,40.62,93.87,59.73,111.7,46.95,49,49.44,16.09
05/10/2017,71.31,44.81,92.52,63.35,111.81,47.1,49.18,52.01,13.26
05/11/2017,72.66,40.52,90.01,63.44,109.77,45.43,51.22,50.2,15.94
05/12/2017,71.97,44.75,89.01,61.77,107.11,45.45,51.08,52.36,14.64
05/13/2017,73.48,44.68,90.43,62.55,108.2,46.71,50.78,51.61,13.68
05/14/2017,73.48,44.68,90.43,62.55,108.2,46.71,50.78,51.61,13.68
05/15/2017,74.98,44.6,91.85,63.32,109.29,47.97,50.47,50.86,12.71
05/16/2017,73.36,44.23,90.01,61.24,109.39,49.51,48.37,51.97,16.06
05/17/2017,73.48,41.66,93.11,61.84,110.97,46.16,49.38,53.19,13.69
05/18/2017,72.84,41.71,91.79,63.11,108.37,47.91,48.79,49.97,15.21
05/19/2017,75.97,40.64,90.22,63.09,111.05,48.75,50.59,52.11,15.2
05/20/2017,73.79,41.4,91.07,62.64,109.1,48.35,50.8,50.67,14.12
05/21/2017,73.79,41.4,91.07,62.64,109.1,48.35,50.8,50.67,14.12
05/22/2017,71.61,42.16,91.91,62.18,107.15,47.94,51.01,49.23,13.04
05/23/2017,75.87,40.15,91.38,60.71,108.47,46.86,47.91,51.42,16.69
05/24/2017,72.66,41.55,91.87,61,108.83,46.72,47.27,53.71,13.13
05/25/2017,74.86,44.46,90.26,62.96,109.29,46.25,47.38,53.02,16.14
05/26/2017,71.88,42.23,92.92,61.99,109.22,48.65,50.53,52.1,16.43
05/27/2017,72.12,43.08,91.41,61.29,108.6,48.71,50.49,51.33,14.44
05/28/2017,72.12,43.08,91.41,61.29,108.6,48.71,50.49,51.33,14.44
05/29/2017,72.35,43.92,89.89,60.59,107.97,48.76,50.44,50.55,12.45
05/30/2017,75.91,40.18,92.04,62.17,110.41,48.85,50.06,52.96,13.97
05/31/2017,72.31,41.11,90.26,60.24,110.15,49.72,50.28,53.28,15.94
06/01/2017,136.6,45.59,91.15,67.26,115.3,55.36,47.49,52.37,29.82
06/02/2017,138.57,45.24,89.24,68.91,117.09,55.18,48.73,54.92,30.75
06/03/2017,137.38,45.41,91.34,67.55,116.3,55.88,49.27,53.77,31.31
06/04/2017,137.38,45.41,91.34,67.55,116.3,55.88,49.27,53.77,31.31
06/05/2017,136.18,45.57,93.44,66.19,115.5,56.57,49.8,52.62,31.87
06/06/2017,136.01,45.88,91.01,67.75,114.64,56.1,47.73,51.82,27.41
06/07/2017,136.62,47.74,93.32,69.51,115.78,53.36,49.33,54.46,27.96
06/08/2017,138.67,45.09,90.97,69.67,117.71,54.22,46.29,50.21,28.09
06/09/2017,137.26,46.11,93.92,65.17,117.94,55.33,49.27,51.27,27.03
06/10/2017,137.28,44.72,92.17,66.74,117,56.01,48.49,52.71,27.42
06/11/2017,137.28,44.72,92.17,66.74,117,56.01,48.49,52.71,27.42
06/12/2017,137.3,43.32,90.42,68.31,116.05,56.69,47.71,54.15,27.81
06/13/2017,136.4,43.4,89.53,65,115.56,56.33,45.82,52.08,29.57
06/14/2017,136.11,43.07,91.61,66.6,113.98,57.23,48.28,50.82,27.16
06/15/2017,137.88,45.55,93.36,69.11,113.05,55.76,47.71,52.78,28.59
06/16/2017,134.58,47.76,93.42,66.51,117.97,56.42,45.96,54.16,31.88
06/17/2017,136.63,46.05,92.74,66.69,117,57.16,46.5,53.05,30.61
06/18/2017,136.63,46.05,92.74,66.69,117,57.16,46.5,53.05,30.61
06/19/2017,138.67,44.34,92.06,66.86,116.02,57.9,47.04,51.94,29.34
06/20/2017,138.22,47.41,93.79,67.33,117.85,56.01,48.74,52.94,30.48
06/21/2017,138.37,47.56,91.41,68.36,114.01,57.03,46.98,52.5,29.2
06/22/2017,138.2,43.09,90.9,65.03,116.52,57.48,48.58,54.29,31.37
06/23/2017,134.07,44.48,93.97,65.22,113.48,54.76,46.44,50.34,29.11
06/24/2017,135.83,45.61,93.82,66.3,113.66,56.38,46,51.67,28.07
06/25/2017,135.83,45.61,93.82,66.3,113.66,56.38,46,51.67,28.07
06/26/2017,137.58,46.73,93.67,67.38,113.83,58,45.55,52.99,27.03
06/27/2017,134.55,47.35,92.76,66.86,114.71,54.06,46.68,53.37,30.01
06/28/2017,137.17,43.56,90.23,66.77,114.1,57.65,49.86,50.42,30.21
06/29/2017,134.02,46.39,89.27,66.56,114.57,56.57,49.2,50.63,29.5
06/30/2017,138.61,45.03,91.78,67.49,117.62,54.67,46.51,54.85,30.31
07/01/2017,130.6,45.48,95.68,68.64,118.86,55.36,47.58,53.34,29.85
07/02/2017,130.6,45.48,95.68,68.64,118.86,55.36,47.58,53.34,29.85
07/03/2017,122.58,45.92,99.57,69.78,120.1,56.05,48.64,51.83,29.39
07/04/2017,121.35,43.8,99.08,70.13,119.84,55.98,47.18,50.48,29.03
07/05/2017,121.67,46.6,101.12,69.82,119.7,58.41,46.38,53.3,30.65
07/06/2017,122.96,46.66,97.99,68.19,121.85,58.63,50.29,50.1,29.83
07/07/2017,121.67,43.84,99.4,69.9,120.85,55.02,46.14,52.41,28.35
07/08/2017,121.57,45.05,100.17,69.66,120.58,55.76,47.75,50.9,29.05
07/09/2017,121.57,45.05,100.17,69.66,120.58,55.76,47.75,50.9,29.05
07/10/2017,121.46,46.26,100.94,69.42,120.31,56.5,49.36,49.39,29.75
07/11/2017,121.84,46.82,101.32,69.75,120.08,58.8,50.94,52.15,28.48
07/12/2017,122.31,45.06,99.93,68.96,120.21,55.23,48.5,50.91,28.72
07/13/2017,122.53,47.41,98.01,70.02,122.58,57.77,49.41,53.3,29.27
07/14/2017,121.32,45.29,99.79,71.56,120.92,57.79,50.05,53.82,28.85
07/15/2017,121.91,46.41,98.7,70.22,119.93,57.62,50.5,52.5,30
07/16/2017,121.91,46.41,98.7,70.22,119.93,57.62,50.5,52.5,30
07/17/2017,122.5,47.53,97.61,68.87,118.94,57.44,50.95,51.18,31.14
07/18/2017,123.74,44.54,100.17,70.65,120.45,56.99,46.77,50.92,30.13
07/19/2017,121.86,43.63,101.03,71.08,118.24,58.52,46.35,52.09,28.54
07/20/2017,121.12,46.1,98.51,70.2,121.52,58.3,46.91,50.5,27.9
07/21/2017,122.53,43.27,98.32,69.94,121.55,57.21,48.36,50.26,28.3
07/22/2017,122.78,43.91,99.87,69.64,120.4,56.81,49.63,49.98,29.2
07/23/2017,122.78,43.91,99.87,69.64,120.4,56.81,49.63,49.98,29.2
07/24/2017,123.03,44.55,101.41,69.34,119.25,56.41,50.89,49.69,30.1
07/25/2017,122.89,46.81,101.35,68.01,118.11,56.61,48.27,51.19,31.13
07/26/2017,120.92,43.83,97.69,68.27,122.02,57.57,48.69,49.12,31.05
07/27/2017,123.57,47.76,99.44,70.15,120.91,55.78,50.42,50.9,31.78
07/28/2017,122.36,43.79,98.52,69.49,118.31,58.67,48.32,53.05,28.67
07/29/2017,123.03,43.95,98.85,70.24,119.27,57.49,49.46,52.43,28.46
07/30/2017,123.03,43.95,98.85,70.24,119.27,57.49,49.46,52.43,28.46
07/31/2017,123.69,44.1,99.17,70.99,120.22,56.31,50.59,51.81,28.25
08/01/2017,123.85,45.76,96.64,69.46,121.8,58.8,49.78,52.76,29.4
08/02/2017,125.19,45.71,96.62,70.61,122.26,56.26,51.08,50.32,27.93
08/03/2017,125.85,43.79,95.46,71.98,119.14,59.87,47.28,54.44,31.66
08/04/2017,123.57,46.55,95.74,70.96,120.25,59.97,49.32,50.13,27.94
08/05/2017,123.03,43.95,98.85,70.24,119.27,57.49,49.46,52.43,28.46
08/06/2017,123.03,43.95,98.85,70.24,119.27,57.49,49.46,52.43,28.46
08/07/2017,123.83,47.95,94.49,67.61,123.12,56.25,47.87,54.24,30.42
08/08/2017,125.26,46.25,96.41,71.82,120.61,56.51,48.03,52.52,27.84
08/09/2017,122.55,47.95,95.63,70.31,122.45,58.11,51.52,50.52,28.46
08/10/2017,125.49,44.74,97.22,69.46,121.08,56.51,50.5,54.66,27.01
08/11/2017,124.09,43.4,97.44,68.63,119.24,56.26,50.09,51.64,29.72
08/12/2017,123.7,47.25,95.12,69.29,121.69,58.11,48.6,52.19,29.18
08/13/2017,123.7,47.25,95.12,69.29,121.69,58.11,48.6,52.19,29.18
08/14/2017,121.53,47.24,98.45,70.39,120.84,56.6,51.51,54.6,27.76
08/15/2017,123.39,46.74,96.62,70.94,123.37,58.07,50.33,54.51,27.61
08/16/2017,122.39,44.85,96.31,70.56,121.63,57.41,47.86,54.8,28.47
08/17/2017,123.41,46.86,98.25,71.17,122,60.04,48.45,51.07,30.2
08/18/2017,121.35,46.62,95.89,69.64,123.32,58.47,51.19,53.17,27.16
08/19/2017,123.31,46.3,94.96,70.6,123.03,57.92,50.92,53.93,27.8
08/20/2017,123.31,46.3,94.96,70.6,123.03,57.92,50.92,53.93,27.8
08/21/2017,125.27,45.97,94.02,71.56,122.73,57.37,50.64,54.69,28.43
08/22/2017,125.9,44.21,95.77,67.93,121.07,59.47,47.93,51.19,27.12
08/23/2017,125.03,43.61,96.6,67.68,120.15,59.41,49.45,52.49,29.68
08/24/2017,125.44,43.4,97.82,70.98,123.88,57.41,48.63,51.5,29.74
08/25/2017,124.74,47.51,97.99,68.36,119.24,56.68,47.49,51.44,27.02
08/26/2017,123.22,45.8,98.48,67.8,120.09,57.68,48.29,51.82,27.48
08/27/2017,123.22,45.8,98.48,67.8,120.09,57.68,48.29,51.82,27.48
08/28/2017,121.7,44.08,98.96,67.24,120.93,58.67,49.09,52.2,27.93
08/29/2017,122.26,44.36,97.96,68.11,123.46,60.67,51.41,51.36,29.88
08/30/2017,122.07,44.35,94.5,71.34,121.08,58.25,48.4,53.12,31.64
08/31/2017,124.49,44.06,95.99,67.87,121.53,60.4,47.48,54.84,27.39
09/01/2017,125.56,45.69,97.66,68.87,120.15,58.26,49.03,53.34,29.6
09/02/2017,125.59,45.68,98.37,69.84,119.8,59.54,50.22,53.54,28.82
09/03/2017,125.59,45.68,98.37,69.84,119.8,59.54,50.22,53.54,28.82
09/04/2017,125.59,45.68,98.37,69.84,119.8,59.54,50.22,53.54,28.82
09/05/2017,125.61,45.67,99.08,70.8,119.45,60.82,51.41,53.73,28.04
09/06/2017,126.82,43.95,98.25,67.55,122.29,58.82,49.52,53.59,28.56
09/07/2017,125.84,45.02,97.67,70.78,122.24,58.7,50.67,53.53,31.46
09/08/2017,127.61,45.82,98.59,67.1,119.37,58.86,50.06,55.61,29.36
09/09/2017,127.24,46.86,97.94,67.77,119.57,58.7,50,54.49,28.32
09/10/2017,127.24,46.86,97.94,67.77,119.57,58.7,50,54.49,28.32
09/11/2017,126.87,47.9,97.28,68.43,119.77,58.54,49.93,53.36,27.27
09/12/2017,127.91,45.92,96.93,70.04,121.75,60.01,48.77,55.32,29.67
09/13/2017,125.77,43.77,95.94,69.23,120.13,57.46,48.95,55.78,30.2
09/14/2017,126.99,44.71,96.12,68.31,118.35,58.86,49.57,51.76,27.61
09/15/2017,124.17,46.1,96.54,68.7,119.94,57.6,49.45,53.65,28.53
09/16/2017,124.03,44.56,98.15,68.96,121.46,57.95,49.7,53.45,28.54
09/17/2017,124.03,44.56,98.15,68.96,121.46,57.95,49.7,53.45,28.54
09/18/2017,123.88,43.02,99.76,69.22,122.97,58.29,49.94,53.25,28.55
09/19/2017,125.73,43.47,97.36,68.91,121.95,57.4,51.8,54.33,29.89
09/20/2017,126.73,46.23,96.78,67.63,120.87,60.25,51.31,52.83,29.61
09/21/2017,126.13,45.31,96.09,66.67,122.91,59.11,51.49,55.35,30.45
09/22/2017,125.57,45.17,99.06,70.23,121.87,59.34,48.17,54.54,31.15
09/23/2017,126.73,46.37,98,70.32,120.94,59.28,48.91,55.18,31.21
09/24/2017,126.73,46.37,98,70.32,120.94,59.28,48.91,55.18,31.21
09/25/2017,127.88,47.56,96.94,70.4,120.01,59.21,49.65,55.82,31.27
09/26/2017,125.79,47.8,99.27,70.22,119.75,60.36,47.87,54.25,30.35
09/27/2017,125.89,47.25,95.01,66.39,118.41,58.22,50.21,52.1,29.73
09/28/2017,127.38,43.54,99.9,66.68,121.91,56.88,48.8,54.01,31.97
09/29/2017,124.19,46.3,97.46,66.64,122.61,56.91,47.51,53.22,27.64
09/30/2017,123.85,44.88,98.13,67.76,121.35,57.67,48.48,53.53,28.99
10/01/2017,123.85,44.88,98.13,67.76,121.35,57.67,48.48,53.53,28.99
10/02/2017,123.5,43.46,98.8,68.87,120.08,58.43,49.44,53.83,30.34
10/03/2017,125.15,43.1,100.84,67.01,119.36,58.25,50.97,52.44,30.29
10/04/2017,123.28,41.07,97.93,67.55,121.85,57.04,50.98,51.23,28.03
10/05/2017,125.33,44.63,96.27,70.31,120.14,57.13,49,52.41,29.04
10/06/2017,125.75,41.47,97.57,70.2,119.03,59.47,50.95,53.01,28.38
10/07/2017,124.43,43.41,98.71,69.93,119.12,59.72,51.19,53.4,30.63
10/08/2017,124.43,43.41,98.71,69.93,119.12,59.72,51.19,53.4,30.63
10/09/2017,123.11,45.35,99.85,69.66,119.2,59.97,51.42,53.79,32.87
10/10/2017,123.16,44.45,98.54,68.24,120.9,58.6,51.43,52.7,30.21
10/11/2017,121.88,45.49,98.37,66.54,122.67,57.47,51.67,52,29.78
10/12/2017,122.48,43.48,100.78,68.61,120.68,56.73,47.03,51.68,32.02
10/13/2017,123.69,45.42,99.86,66.41,121.05,57.89,49.32,54.16,32.62
10/14/2017,124.76,44.38,100.39,67.91,121.25,57.74,48.54,54.84,31.95
10/15/2017,124.76,44.38,100.39,67.91,121.25,57.74,48.54,54.84,31.95
10/16/2017,125.83,43.34,100.92,69.4,121.45,57.58,47.75,55.51,31.27
10/17/2017,123.31,43.7,96.22,70.4,121.08,57.23,51.19,51.53,31.62
10/18/2017,125.63,43.96,96.03,66.62,119.54,56.66,47.09,51.25,28.57
10/19/2017,125.97,43.91,98.14,67.18,120.05,60.07,47.23,54.48,31.04
10/20/2017,125.99,42.38,96.55,70.08,120.13,59.61,51.01,53.53,31.94
10/21/2017,123.75,42.23,98.13,68.92,119.79,58.39,51.33,54.4,31.52
10/22/2017,123.75,42.23,98.13,68.92,119.79,58.39,51.33,54.4,31.52
10/23/2017,121.5,42.08,99.7,67.76,119.45,57.16,51.65,55.27,31.09
10/24/2017,121.9,43.65,96.01,68.83,120.2,57.65,49.97,53.5,31.16
10/25/2017,124.98,42.11,99.33,66.57,122.53,58.77,50.47,53.01,31.55
10/26/2017,124.54,45.35,96.14,68.65,122.39,60.59,49.29,53.86,28.15
10/27/2017,124.65,42.9,97.07,68.52,119.85,56.93,50.05,54.68,30.32
10/28/2017,125.2,42.63,98.16,67.61,119.23,57.56,49.33,54.78,31.54
10/29/2017,125.2,42.63,98.16,67.61,119.23,57.56,49.33,54.78,31.54
10/30/2017,125.74,42.35,99.24,66.69,118.6,58.19,48.61,54.87,32.75
10/31/2017,124.81,42.81,97,69.2,119.4,58.01,48.85,53.62,28.17
11/01/2017,123.41,42.11,100.89,69.45,119.13,58.83,47.59,54.93,30.63
11/02/2017,124.02,45.82,99.34,69.13,119.5,56.19,50.4,52.85,32.38
11/03/2017,121.37,41.81,100.76,69.49,119.95,56.74,49.95,54.64,31.85
11/04/2017,121.96,41.94,99.03,69.64,121.14,57.85,49.56,54.13,30.76
11/05/2017,121.96,41.94,99.03,69.64,121.14,57.85,49.56,54.13,30.76
11/06/2017,122.55,42.06,97.29,69.79,122.32,58.96,49.17,53.62,29.66
11/07/2017,124.93,43.85,100.09,66.86,118.75,57.49,48.26,51.88,30.72
11/08/2017,122.53,43.89,97.23,67.93,119.78,58.33,51.37,54.29,30.52
11/09/2017,125.2,44.24,97.93,70.58,121,58.68,47.04,52.59,32.52
11/10/2017,127.23,43.75,99.11,70.15,120.4,58.23,49.72,53.89,30.09
11/11/2017,127.5,43.6,98.52,70.86,119.54,58.08,50.43,53.97,29.44
11/12/2017,127.5,43.6,98.52,70.86,119.54,58.08,50.43,53.97,29.44
11/13/2017,127.77,43.45,97.92,71.57,118.68,57.92,51.14,54.05,28.79
11/14/2017,128.27,42.74,100.06,69.83,120.6,57.26,48.89,54.88,30.79
11/15/2017,129.73,43.55,99.97,70.59,121.52,57.12,49.3,51.56,32.64
11/16/2017,128.54,44.5,98.58,70.77,122.15,59.1,51.64,52.15,30.23
11/17/2017,125.22,41.43,101.94,68.34,119.2,56.77,49.42,54.2,31.76
11/18/2017,126.01,42.53,99.77,68.69,119.49,57.26,48.98,55.01,31.98
11/19/2017,126.01,42.53,99.77,68.69,119.49,57.26,48.98,55.01,31.98
11/20/2017,126.79,43.62,97.6,69.04,119.78,57.74,48.53,55.82,32.2
